,PHILO. ET LETTRES,,,,,DROIT,,,,,SCIENCES,,,,,MEDECINE,,,,,PHARMACIE,,,,,EDUCATION PHYSIQUE,,,,,SCIENCES APPLIQUEES,,,,,SC. SOC. POL. ECON.,,,,,ECOLE COM.,,,,,SC. PSYCHO.-PEDA.,,,,,INST. STAT.,,,,,INST. TRAV.,,,,,INST. ET. EUR.,,,,,
,H.B.,H.E.,F.B.,F.E.,Tot.,H.B.,H.E.,F.B.,F.E.,Tot.,H.B.,H.E.,F.B.,F.E.,Tot.,H.B.,H.E.,F.B.,F.E.,Tot.,H.B.,H.E.,F.B.,F.E.,Tot.,H.B.,H.E.,F.B.,F.E.,Tot.,H.B.,H.E.,F.B.,F.E.,Tot.,H.B.,H.E.,F.B.,F.E.,Tot.,H.B.,H.E.,F.B.,F.E.,Tot.,H.B.,H.E.,F.B.,F.E.,Tot.,H.B.,H.E.,F.B.,F.E.,Tot.,H.B.,H.E.,F.B.,F.E.,Tot.,H.B.,H.E.,F.B.,F.E.,Tot.,Totaux
1934-35,21,1,25,4,51,54,5,6,3,68,33,5,15,1,54,42,14,5,2,63,17,2,10,2,31,,,,,,43,9,1,,53,26,14,3,1,44,24,,3,,27,3,,1,,4,,,,,,,,,,,,,,,,395
1935-36,20,1,33,3,57,48,7,15,,70,25,2,11,,38,54,17,4,7,82,17,,8,5,30,,,,,,44,5,,,49,35,19,3,2,59,12,2,2,,16,1,,,,1,,,,,,,,,,,,,,,,402
1936-37,18,1,32,1,52,67,3,8,2,80,26,2,16,,44,47,10,6,4,67,21,1,12,1,35,,,,,,27,10,1,,38,25,10,1,2,38,6,3,,,9,,,,,,,,,,,,,,,,,,,,,363
1937-38,11,1,22,,34,49,4,13,1,67,25,4,10,2,41,47,12,8,3,70,22,1,14,2,39,13,,2,,15,36,4,,,40,7,5,,,12,11,3,1,,15,2,1,,,3,,,,,,,,,,,,,,,,336
1938-39,21,3,28,1,53,58,1,12,,71,21,3,7,2,33,74,18,10,5,107,17,1,8,1,27,6,,3,,9,35,10,,1,46,14,5,6,3,28,15,,3,,18,1,,,,1,,,,,,,,,,,,,,,,393
1939-40,22,2,21,1,46,57,1,5,,63,20,2,8,,30,58,10,6,1,75,18,1,9,,28,4,,,,4,25,3,2,,30,19,9,8,,36,8,2,3,,13,1,,,,1,,,,,,,,,,,,,,,,326
1940-41,31,1,38,2,72,56,,6,,62,31,3,10,,44,65,6,5,3,79,14,1,10,1,26,1,1,1,,3,37,4,,,41,29,8,1,2,40,18,,,,18,4,,2,1,7,,,,,,,,,,,,,,,,392
1941-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-44,,,,,,3,,,,3,4,1,,,5,,1,1,,2,,,,,,,,,,,,,,,,4,1,,1,6,12,4,,,16,,,,,,,,,,,,,,,,,,,,,32
1944-45,9,2,21,3,35,46,,10,,56,34,1,10,,45,57,,6,,63,16,,6,,22,,,,,,19,2,,,21,11,,1,,12,8,,2,,10,,,4,,4,,,,,,,,,,,,,,,,268
1945-46,18,3,14,2,37,63,,7,,69,41,,19,,60,70,5,12,1,88,18,,10,,28,8,1,,,9,34,1,,,35,14,,1,,15,17,,,,17,1,,,,1,,,,,,,,,,,,,,,,359
1946-47,16,2,18,3,39,73,1,7,1,82,24,1,11,1,37,72,10,13,2,97,17,,8,1,26,4,,2,,6,45,4,,,49,15,3,3,,21,7,,1,,8,8,,3,,11,,,,,,,,,,,,,,,,376
1947-48,31,2,29,2,64,75,,1,,76,60,,24,,84,88,9,22,2,121,15,1,9,,25,3,,,,3,48,9,,,57,37,2,4,1,44,29,,,,29,3,,5,,8,,,,,,,,,,,,,,,,511
1948-49,25,1,29,3,58,67,2,18,1,88,48,4,22,,74,84,12,9,6,111,28,,18,,46,6,,4,,10,90,7,1,,98,35,1,8,1,45,30,4,1,,35,4,,5,,9,,,,,,,,,,,,,,,,574
1949-50,20,3,30,1,54,108,1,24,,133,41,3,25,4,73,61,7,10,5,83,16,,17,,33,5,,2,,7,74,5,,,79,33,3,11,2,49,27,1,4,,32,9,,7,1,17,,,,,,,,,,,,,,,,560
1950-51,18,6,42,2,68,96,,19,,115,47,3,21,2,73,125,5,28,2,160,23,1,13,,37,6,,2,,8,51,3,,1,55,34,4,11,1,50,25,2,,1,28,7,,11,,18,,,,,,,,,,,,,,,,612
1951-52,19,1,26,1,47,120,,23,,143,73,5,29,,107,106,8,32,4,150,12,,15,,27,3,,6,,9,40,4,,,44,44,3,7,,54,19,2,,,21,7,1,9,,17,,,,,,,,,,,,,,,,619
1952-53,23,1,42,,66,108,2,25,,135,44,2,35,1,82,116,12,23,3,154,14,,18,,32,3,1,2,,6,39,1,,,40,43,1,19,,63,21,3,2,,26,7,,9,,16,,,,,,,,,,,,,,,,620
