,PHILO. ET LETTRES,,,DROIT,,,SCIENCES,,,"MEDECINE, PHARMACIE – ET. PHYS",,,SCIENCES APPLIQUEES,,,SC. SOC. POL. ECON. EC. COM.,,,PSYCHO.-PEDA.,,,INSTITUTS ENS. INTERFAC.,,,TOTAUX,,,,
,Hommes,Femmes,Totaux,Hommes,Femmes,Totaux,Hommes,Femmes,Totaux,Hommes,Femmes,Totaux,Hommes,Femmes,Totaux,Hommes,Femmes,Totaux,Hommes,Femmes,Totaux,Hommes,Femmes,Totaux,Hommes,Femmes,Belges,Etrangers,
1934-35,282,255,537,246,55,301,435,154,589,495,112,607,229,3,232,329,45,374,56,49,105,,,,2072,673,2258,487,2745
1935-36,305,221,526,231,52,283,453,154,607,511,116,627,202,3,205,378,39,417,54,50,104,,,,2134,635,2216,553,2769
1936-37,273,225,498,271,47,318,498,165,663,514,105,619,180,3,183,322,42,364,46,52,98,,,,2104,639,2212,531,2743
1937-38,330,254,584,262,43,305,523,176,699,549,106,655,182,3,185,366,43,409,41,52,93,,,,2253,677,2255,675,2930
1938-39,509,392,901,231,30,261,574,221,795,530,107,637,205,3,208,375,47,422,28,30,58,,,,2452,830,2745,537,3282
1939-40,525,412,937,235,30,265,566,200,766,543,107,650,207,2,209,299,48,347,20,30,50,,,,2395,829,2787,437,3224
1940-41,498,389,887,218,12,230,697,215,912,523,102,625,304,3,307,333,32,365,16,23,39,,,,2589,776,3173,192,3365
1941-42,513,364,877,236,17,253,691,238,929,540,116,656,357,2,359,380,28,408,83,72,155,,,,2800,837,3470,167,3637
1942-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-45,343,256,599,164,26,190,651,265,916,646,107,753,319,2,321,239,30,269,25,28,53,,,,2387,714,2969,132,3101
1945-46,702,378,1080,292,25,317,713,269,982,642,162,804,440,1,441,625,87,712,62,37,99,,,,3476,959,4033,402,4435
1946-47,586,403,989,299,37,336,641,244,885,687,177,864,402,2,404,530,103,633,40,51,91,,,,3185,1017,3753,449,4202
1947-48,594,435,1029,345,59,404,631,237,868,719,191,910,373,3,376,626,104,730,45,50,95,,,,3333,1079,3915,497,4412
1948-49,576,448,1024,381,98,479,651,304,955,757,206,963,363,2,365,622,135,757,61,57,118,,,,3411,1250,4233,428,4661
1949-50,534,453,987,456,100,556,702,329,1031,740,217,957,320,1,321,620,143,763,77,60,137,,,,3449,1303,4413,339,4752
1950-51,497,411,908,480,110,590,737,306,1043,756,236,992,293,5,298,581,131,712,70,66,136,,,,3414,1265,4319,360,4679
1951-52,483,394,877,438,109,547,746,334,1080,723,238,961,281,3,284,528,111,639,63,87,150,,,,3262,1276,4195,343,4538
1952-53,419,404,823,435,116,551,696,333,1029,730,219,949,278,2,280,551,118,669,51,84,135,,,,3160,1276,4122,314,4436
1953-54,432,440,872,412,107,519,729,325,1054,731,227,958,291,2,293,524,130,654,49,72,121,1,2,3,3169,1305,4131,342,4473
1954-55,466,443,909,379,98,477,731,345,1076,684,216,900,300,6,306,463,121,584,57,67,124,4,0,4,3084,1296,4030,350,4380
1955-56,545,445,990,344,97,441,784,378,1162,678,239,917,401,7,408,517,110,627,49,70,119,24,3,27,3342,1349,4326,365,4691
1956-57,546,443,989,315,82,397,871,425,1296,737,226,963,414,8,422,499,112,611,63,68,131,24,4,28,3469,1368,4397,440,4837
1957-58,547,488,1035,307,75,382,940,475,1415,725,243,968,470,6,476,532,113,645,56,56,112,21,4,25,3598,1460,4539,519,5058
1958-59,589,541,1130,329,79,408,926,469,1395,795,269,1064,582,7,589,605,137,742,75,80,155,77,5,82,3978,1587,5018,547,5565
1959-60,628,555,1183,357,80,437,991,489,1480,788,279,1067,567,8,575,681,160,841,66,96,162,63,3,66,4141,1670,5221,590,5811
1960-61,712,624,1336,369,81,450,1075,529,1604,862,290,1152,531,6,537,809,160,969,109,116,225,76,4,80,4543,1810,5673,680,6353
1961-62,780,638,1418,436,97,533,1258,571,1829,979,330,1309,528,8,536,933,188,1121,122,144,266,103,7,110,5139,1983,6234,888,7122
1962-63,765,718,1483,442,97,539,1334,589,1923,1002,353,1355,560,9,569,1083,207,1290,167,187,354,116,14,130,5469,2174,6735,908,7643
1963-64,676,704,1380,398,82,480,1398,545,1943,982,325,1307,563,12,575,986,215,1201,204,229,433,127,18,145,5334,2130,6208,1256,7464
1964-65,892,919,1811,559,112,671,1591,686,2277,1102,353,1455,628,13,641,1157,319,1476,242,289,531,188,45,233,6359,2736,7738,1357,9095
1965-66,1071,1114,2185,572,135,707,1637,459,2096,1184,474,1658,619,10,629,1408,372,1780,283,329,612,195,28,223,6969,2921,8158,1732,9890
1966-67,969,974,1943,509,123,632,1520,746,2266,1099,407,1506,667,16,683,1455,384,1839,231,304,535,207,19,226,6657,2973,7740,1890,9630
1967-68,704,984,1688,857,283,1140,1569,872,2441,1201,454,1655,609,16,625,1423,446,1869,242,313,555,183,20,203,6788,3388,8106,2070,10176
1968-69,670,915,1585,1310,451,1761,1369,696,2065,1953,826,2779,665,24,689,1705,572,2277,316,316,632,155,28,183,8143,3828,9901,2070,11971
1969-70,510,628,1138,1053,426,1479,1022,555,1577,1944,770,2714,572,23,595,1493,565,2058,221,257,478,151,48,199,6966,3272,8072,2166,10238
1970-71,618,921,1539,1141,507,1648,1343,623,1966,2236,1089,3325,737,49,786,1715,610,2325,214,297,511,196,58,254,8200,4154,9247,3107,12354
1971-72,824,1108,1932,1292,638,1930,1623,741,2364,2572,1314,3886,1025,42,1067,2080,774,2854,282,470,752,241,46,287,9939,5133,11080,3992,15072
